#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Ostreococcus lucimarinus CCE9901,Eukaryota;Plants;Green Algae,CCE9901,SAMN03081420,PRJNA13044,GCA_000092065.1,Complete,13.2049,60.4431,chromosome 1:NC_009355.1/CP000581.1; chromosome 2:NC_009356.1/CP000582.1; chromosome 3:NC_009357.1/CP000583.1; chromosome 4:NC_009358.1/CP000584.1; chromosome 5:NC_009359.1/CP000585.1; chromosome 6:NC_009360.1/CP000586.1; chromosome 7:NC_009361.1/CP000587.1; chromosome 8:NC_009362.1/CP000588.1; chromosome 9:NC_009363.1/CP000589.1; chromosome 10:NC_009364.1/CP000590.1; chromosome 11:NC_009365.1/CP000591.1; chromosome 12:NC_009366.1/CP000592.1; chromosome 13:NC_009367.1/CP000593.1; chromosome 14:NC_009368.1/CP000594.1; chromosome 15:NC_009369.1/CP000595.1; chromosome 16:NC_009370.1/CP000596.1; chromosome 17:NC_009371.1/CP000597.1; chromosome 18:NC_009372.1/CP000598.1; chromosome 19:NC_009373.1/CP000599.1; chromosome 20:NC_009374.1/CP000600.1; chromosome 21:NC_009375.1/CP000601.1,,21,7603,2007-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/065/GCA_000092065.1_ASM9206v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/065/GCF_000092065.1_ASM9206v1,
Selaginella moellendorffii,Eukaryota;Plants;Land Plants,,SAMN02981255,PRJNA13078,GCA_000143415.2,Scaffold,212.315,45.3,,ADFJ01,757,45247,2010-06-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/415/GCA_000143415.2_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/415/GCF_000143415.4_v1.0,
Volvox carteri f. nagariensis,Eukaryota;Plants;Green Algae,Eve,SAMN02953753,PRJNA13109,GCA_000143455.1,Scaffold,137.684,55.3,,ACJH01,1251,14436,2010-07-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/455/GCA_000143455.1_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/455/GCF_000143455.1_v1.0,
Phaeodactylum tricornutum CCAP 1055/1,Eukaryota;Other;Other,CCAP 1055/1,SAMN02953727,PRJNA13152,GCA_000150955.2, Chromosome,27.4507,48.8432,chromosome 1:NC_011669.1/CM000605.1; chromosome 2:NC_011670.1/CM000606.1; chromosome 3:NC_011671.1/CP001142.1; chromosome 4:NC_011672.1/CM000607.1; chromosome 5:NC_011673.1/CM000608.1; chromosome 6:NC_011674.1/CM000609.1; chromosome 7:NC_011675.1/CM000610.1; chromosome 8:NC_011676.1/CM000611.1; chromosome 9:NC_011677.1/CM000612.1; chromosome 10:NC_011678.1/CM000613.1; chromosome 11:NC_011679.1/CP001141.1; chromosome 12:NC_011680.1/CM000614.1; chromosome 13:NC_011681.1/CM000615.1; chromosome 14:NC_011682.1/CM000616.1; chromosome 15:NC_011683.1/CM000617.1; chromosome 16:NC_011684.1/CM000618.1; chromosome 17:NC_011685.1/CM000619.1; chromosome 18:NC_011686.1/CM000620.1; chromosome 19:NC_011687.1/CM000621.1; chromosome 20:NC_011688.1/CM000622.1; chromosome 21:NC_011689.1/CM000623.1; chromosome 22:NC_011690.1/CM000624.1; chromosome 23:NC_011691.1/CM000625.1; chromosome 24:NC_011692.1/CM000626.1; chromosome 25:NC_011693.1/CM000627.1; chromosome 26:NC_011694.1/CM000628.1; chromosome 27:NC_011695.1/CM000629.1; chromosome 28:NC_011696.1/CM000630.1; chromosome 29:NC_011697.1/CM000631.1; chromosome 30:NC_011698.1/CM000632.1; chromosome 31:NC_011699.1/CM000633.1; chromosome 32:NC_011700.1/CM000634.1; chromosome 33:NC_011701.1/CM000635.1,ABQD01,88,10408,2008-10-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/955/GCA_000150955.2_ASM15095v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/955/GCF_000150955.2_ASM15095v2,
Candida dubliniensis CD36,Eukaryota;Fungi;Ascomycetes,CD36,SAMEA2272258,PRJEA34697,GCA_000026945.1,Complete,14.6184,33.2489,chromosome R:NC_012867.1/FM992695.1; chromosome 1:NC_012860.1/FM992688.1; chromosome 2:NC_012861.1/FM992689.1; chromosome 3:NC_012862.1/FM992690.1; chromosome 4:NC_012863.1/FM992691.1; chromosome 5:NC_012864.1/FM992692.1; chromosome 6:NC_012865.1/FM992693.1; chromosome 7:NC_012866.1/FM992694.1,,8,5859,2009-02-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/945/GCA_000026945.1_ASM2694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/945/GCF_000026945.1_ASM2694v1,27
Nicotiana tabacum,Eukaryota;Plants;Land Plants,,SAMN02316627,PRJNA319578,GCA_000715135.1,Scaffold,3643.47,39.2006,plastid Pltd:NC_001879.2/; mitochondrion MT:NC_006581.1/,AYMY01,168247,84255,2014-05-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/135/GCA_000715135.1_Ntab-TN90,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/135/GCF_000715135.1_Ntab-TN90,
Aspergillus niger CBS 513.88,Eukaryota;Fungi;Ascomycetes,,SAMEA3283178,PRJNA19275,GCA_000002855.2,Scaffold,34.0067,50.3785,mitochondrion MT:NC_007445.1/,,20,10609,2005-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/855/GCA_000002855.2_ASM285v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/855/GCF_000002855.3_ASM285v2,30
Aureococcus anophagefferens,Eukaryota;Protists;Other Protists,CCMP1984,SAMN02953754,PRJNA13500,GCA_000186865.1,Scaffold,56.6606,67.4,,ACJI01,1185,11520,2011-01-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/865/GCA_000186865.1_v_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/865/GCF_000186865.1_v_1.0,
Callithrix jacchus,Eukaryota;Animals;Mammals,cj1700,SAMN12783337,PRJNA635392,GCA_009663435.2, Chromosome,2897.82,40.9673,chromosome 1:NC_048383.1/CM018917.1; chromosome 2:NC_048384.1/CM018918.1; chromosome 3:NC_048385.1/CM018919.1; chromosome 4:NC_048386.1/CM018920.1; chromosome 5:NC_048387.1/CM018921.1; chromosome 6:NC_048388.1/CM018922.1; chromosome 7:NC_048389.1/CM018923.1; chromosome 8:NC_048390.1/CM018924.1; chromosome 9:NC_048391.1/CM018925.1; chromosome 10:NC_048392.1/CM018926.1; chromosome 11:NC_048393.1/CM018927.1; chromosome 12:NC_048394.1/CM018928.1; chromosome 13:NC_048395.1/CM018929.1; chromosome 14:NC_048396.1/CM018930.1; chromosome 15:NC_048397.1/CM018931.1; chromosome 16:NC_048398.1/CM018932.1; chromosome 17:NC_048399.1/CM018933.1; chromosome 18:NC_048400.1/CM018934.1; chromosome 19:NC_048401.1/CM018935.1; chromosome 20:NC_048402.1/CM018936.1; chromosome 21:NC_048403.1/CM018937.1; chromosome 22:NC_048404.1/CM018938.1; chromosome X:NC_048405.1/CM018939.1; chromosome Y:NC_048406.1/CM023155.1; mitochondrion MT:NC_025586.1/,WJHW01,994,85133,2019-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/435/GCA_009663435.2_Callithrix_jacchus_cj1700_1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/663/435/GCF_009663435.1_Callithrix_jacchus_cj1700_1.1,
Aplysia californica,Eukaryota;Animals;Other Animals,F4 #8,SAMN02953658,PRJNA13635,GCA_000002075.2,Scaffold,927.31,41.9999,mitochondrion MT:NC_005827.1/,AASC03,4332,26676,2006-08-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/075/GCA_000002075.2_AplCal3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0,
Schizosaccharomyces octosporus yFS286,Eukaryota;Fungi;Ascomycetes,yFS286,SAMN02953709,PRJNA13639,GCA_000150505.2,Scaffold,11.6345,37.9,,ABHY03,5,4986,2007-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/505/GCA_000150505.2_SO6,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6,25
Schizosaccharomyces japonicus yFS275,Eukaryota;Fungi;Ascomycetes,yFS275,SAMN02953668,PRJNA13640,GCA_000149845.2,Scaffold,11.7332,44.1,,AATM02,32,4878,2006-10-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/845/GCA_000149845.2_SJ5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5,25
Batrachochytrium dendrobatidis JAM81,Eukaryota;Fungi;Other Fungi,JAM81,SAMN02746048,PRJNA41157,GCA_000203795.1,Scaffold,24.3151,39.3,,ADAR01,127,8677,2011-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/795/GCA_000203795.1_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/795/GCF_000203795.1_v1.0,
Rhodnius prolixus,Eukaryota;Animals;Insects,,SAMN02953759,PRJNA13648,GCA_000181055.3,Scaffold,706.824,37.1,,ACPB03,16537,0,2009-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/055/GCA_000181055.3_Rhodnius_prolixus-3.0.3,,
Nasonia vitripennis,Eukaryota;Animals;Insects,AsymCx,SAMN12877551,PRJNA594415,GCA_009193385.2, Chromosome,297.31,41.1431,chromosome 1:NC_045757.1/CM020934.1; chromosome 2:NC_045758.1/CM020935.1; chromosome 3:NC_045759.1/CM020936.1; chromosome 4:NC_045760.1/CM020937.1; chromosome 5:NC_045761.1/CM020938.1,WELF01,444,34173,2019-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/193/385/GCA_009193385.2_Nvit_psr_1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/193/385/GCF_009193385.2_Nvit_psr_1.1,
Otolemur garnettii,Eukaryota;Animals;Mammals,467f Iridium,SAMN02981229,PRJNA16955,GCA_000181295.3,Scaffold,2519.72,41.5,,AAQR03,7793,32556,2006-06-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/295/GCA_000181295.3_OtoGar3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/295/GCF_000181295.1_OtoGar3,
Zymoseptoria tritici IPO323,Eukaryota;Fungi;Ascomycetes,IPO323,SAMN02746078,PRJNA19047,GCA_000219625.1, Chromosome,39.6863,52.1368,chromosome 1:NC_018218.1/CM001196.1; chromosome 2:NC_018217.1/CM001197.1; chromosome 3:NC_018216.1/CM001198.1; chromosome 4:NC_018215.1/CM001199.1; chromosome 5:NC_018214.1/CM001200.1; chromosome 6:NC_018213.1/CM001201.1; chromosome 7:NC_018212.1/CM001202.1; chromosome 8:NC_018211.1/CM001203.1; chromosome 9:NC_018210.1/CM001204.1; chromosome 10:NC_018209.1/CM001205.1; chromosome 11:NC_018208.1/CM001206.1; chromosome 12:NC_018207.1/CM001207.1; chromosome 13:NC_018206.1/CM001208.1; chromosome 14:NC_018205.1/CM001209.1; chromosome 15:NC_018204.1/CM001210.1; chromosome 16:NC_018203.1/CM001211.1; chromosome 17:NC_018202.1/CM001212.1; chromosome 18:NC_018201.1/CM001213.1; chromosome 19:NC_018200.1/CM001214.1; chromosome 20:NC_018199.1/CM001215.1; chromosome 21:NC_018198.1/CM001216.1,ACPE01,21,10941,2011-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/625/GCA_000219625.1_MYCGR_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/625/GCF_000219625.1_MYCGR_v2.0,
Acyrthosiphon pisum,Eukaryota;Animals;Insects,AL4f,SAMN10253041,PRJNA547584,GCA_005508785.1, Chromosome,541.138,31.2911,chromosome X:NC_042493.1/CM016665.1; chromosome A1:NC_042494.1/CM016664.1; chromosome A2:NC_042495.1/CM016666.1; chromosome A3:NC_042496.1/CM016667.1; mitochondrion MT:NC_011594.1/,SDIB01,21920,28509,2019-05-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/508/785/GCA_005508785.1_pea_aphid_22Mar2018_4r6ur,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.1_pea_aphid_22Mar2018_4r6ur,
Parastagonospora nodorum SN15,Eukaryota;Fungi;Ascomycetes,SN15,SAMN02953619,PRJNA13754,GCA_000146915.2,Scaffold,37.214,50.3719,mitochondrion MT:NC_009746.1/EU053989.1,AAGI01,108,15994,2005-04-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/915/GCA_000146915.2_ASM14691v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/915/GCF_000146915.1_ASM14691v2,
Oryza rufipogon,Eukaryota;Plants;Land Plants,,SAMN04320549,PRJNA305217,GCA_001551805.1,Contig,384.518,44,,LONB01,2582,0,2016-02-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/551/805/GCA_001551805.1_ASM155180v1,,
Oryza glaberrima,Eukaryota;Plants;Land Plants,,SAMN02981267,PRJNA13765,GCA_000147395.3, Chromosome,347.321,42.8725,chromosome 1:CM029708.1; chromosome 2:CM029709.1; chromosome 3:CM029710.1; chromosome 4:CM029711.1; chromosome 5:CM029712.1; chromosome 6:CM029713.1; chromosome 7:CM029714.1; chromosome 8:CM029715.1; chromosome 9:CM029716.1; chromosome 10:CM029717.1; chromosome 11:CM029718.1; chromosome 12:CM029719.1,ADWL02,72,0,2010-07-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/395/GCA_000147395.3_OglaRS2,,
Ictidomys tridecemlineatus,Eukaryota;Animals;Mammals,GS200,SAMN08111062,PRJNA714113,GCA_016881025.1, Chromosome,2478.97,40.6196,chromosome X:NC_053502.1/CM029182.1; mitochondrion MT:NC_027278.1/,JAESOR01,7132,55882,2021-02-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/881/025/GCA_016881025.1_HiC_Itri_2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/881/025/GCF_016881025.1_HiC_Itri_2,
Tupaia belangeri,Eukaryota;Animals;Mammals,,SAMN03004381,PRJNA13971,GCA_000181375.1,Contig,2137.23,41.4,,AAPY01,841006,0,2006-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/375/GCA_000181375.1_ASM18137v1,,
Nomascus leucogenys,Eukaryota;Animals;Mammals,Asia,SAMN11124083,PRJNA564096,GCA_006542625.1, Chromosome,2843.98,41.0665,chromosome 1a:NC_044381.1/CM016945.1; chromosome 2:NC_044382.1/CM016946.1; chromosome 3:NC_044383.1/CM016947.1; chromosome 4:NC_044384.1/CM016948.1; chromosome 5:NC_044385.1/CM016949.1; chromosome 6:NC_044386.1/CM016950.1; chromosome 7b:NC_044387.1/CM016951.1; chromosome 8:NC_044388.1/CM016952.1; chromosome 9:NC_044389.1/CM016953.1; chromosome 10:NC_044390.1/CM016954.1; chromosome 11:NC_044391.1/CM016955.1; chromosome 12:NC_044392.1/CM016956.1; chromosome 13:NC_044393.1/CM016957.1; chromosome 14:NC_044394.1/CM016958.1; chromosome 15:NC_044395.1/CM016959.1; chromosome 16:NC_044396.1/CM016960.1; chromosome 17:NC_044397.1/CM016961.1; chromosome 18:NC_044398.1/CM016962.1; chromosome 19:NC_044399.1/CM016963.1; chromosome 20:NC_044400.1/CM016964.1; chromosome 21:NC_044401.1/CM016965.1; chromosome 22a:NC_044402.1/CM016966.1; chromosome 23:NC_044403.1/CM016967.1; chromosome 24:NC_044404.1/CM016968.1; chromosome 25:NC_044405.1/CM016969.1; chromosome X:NC_044406.1/CM016970.1; mitochondrion MT:NC_021957.1/,VIFL01,2377,51330,2019-07-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/542/625/GCA_006542625.1_Asia_NLE_v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/625/GCF_006542625.1_Asia_NLE_v1,
Heterorhabditis bacteriophora,Eukaryota;Animals;Roundworms,M31e,SAMN02953756,PRJNA13977,GCA_000223415.1,Scaffold,76.9743,33.9,,ACKM01,1240,0,2011-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/415/GCA_000223415.1_Heterorhabditis_bacteriophora-7.0,,
Lolium perenne,Eukaryota;Plants;Land Plants,Kyuss_39,SAMN17257337,PRJNA690687,GCA_019359855.1, Chromosome,2277.55,44.3065,chromosome 1:CM033332.1; chromosome 2:CM033333.1; chromosome 3:CM033334.1; chromosome 4:CM033335.1; chromosome 5:CM033336.1; chromosome 6:CM033337.1; chromosome 7:CM033338.1,JAEVFB01,1697,0,2021-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/359/855/GCA_019359855.1_MPB_Lper_Kyuss_1697,,
Sclerotinia sclerotiorum 1980 UF-70,Eukaryota;Fungi;Ascomycetes,1980,SAMN02953621,PRJNA15530,GCA_000146945.2,Scaffold,38.4592,41.8631,mitochondrion MT:NC_035155.1/KT283062.1,AAGT01,37,14490,2005-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/945/GCA_000146945.2_ASM14694v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/945/GCF_000146945.2_ASM14694v2,22
Fusarium verticillioides 7600,Eukaryota;Fungi;Ascomycetes,7600,SAMN02953630,PRJNA15553,GCA_000149555.1, Chromosome,41.8449,48.6857,chromosome 1:NC_031675.1/CM000578.1; chromosome 2:NC_031676.1/CM000579.1; chromosome 3:NC_031677.1/CM000580.1; chromosome 4:NC_031678.1/CM000581.1; chromosome 5:NC_031679.1/CM000582.1; chromosome 6:NC_031680.1/CM000583.1; chromosome 7:NC_031681.1/CM000584.1; chromosome 8:NC_031682.1/CM000585.1; chromosome 9:NC_031683.1/CM000586.1; chromosome 10:NC_031684.1/CM000587.1; chromosome 11:NC_031685.1/CM000588.1; mitochondrion MT:NC_016687.1/,AAIM02,37,20574,2005-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/555/GCA_000149555.1_ASM14955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/555/GCF_000149555.1_ASM14955v1,25
Botrytis cinerea B05.10,Eukaryota;Fungi;Ascomycetes,B05.10,SAMN02953628,PRJNA15632,GCA_000143535.4,Complete,42.6301,42.0028,chromosome 1:NC_037310.1/CP009805.1; chromosome 2:NC_037311.1/CP009806.1; chromosome 3:NC_037312.1/CP009807.1; chromosome 4:NC_037313.1/CP009808.1; chromosome 5:NC_037314.1/CP009809.1; chromosome 6:NC_037315.1/CP009810.1; chromosome 7:NC_037316.1/CP009811.1; chromosome 8:NC_037317.1/CP009812.1; chromosome 9:NC_037318.1/CP009813.1; chromosome 10:NC_037319.1/CP009814.1; chromosome 11:NC_037320.1/CP009815.1; chromosome 12:NC_037321.1/CP009816.1; chromosome 13:NC_037322.1/CP009817.1; chromosome 14:NC_037323.1/CP009818.1; chromosome 15:NC_037324.1/CP009819.1; chromosome 16:NC_037325.1/CP009820.1; chromosome 17:NC_037326.1/CP009821.1; chromosome 18:NC_037327.1/CP009822.1,,18,13703,2015-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/535/GCA_000143535.4_ASM14353v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/535/GCF_000143535.2_ASM14353v4,25
Arabidopsis lyrata subsp. lyrata,Eukaryota;Plants;Land Plants,,SAMN02981250,PRJNA41137,GCA_000004255.1,Scaffold,206.823,37.5991,chloroplast Pltd:NC_034379.1/,ADBK01,696,39161,2009-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/255/GCA_000004255.1_v.1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/255/GCF_000004255.2_v.1.0,
Erythranthe guttata,Eukaryota;Plants;Land Plants,,SAMN02742818,PRJNA13880,GCA_000504015.1,Scaffold,322.167,36.3144,mitochondrion MT:NC_018041.1/,APLE01,2212,31861,2013-12-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/015/GCA_000504015.1_Mimgu1_0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/015/GCF_000504015.1_Mimgu1_0,
Capsella rubella,Eukaryota;Plants;Land Plants,,SAMN02981483,PRJNA13878,GCA_000375325.1,Scaffold,133.064,35.9,,ANNY01,773,34126,2013-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/375/325/GCA_000375325.1_Caprub1_0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/325/GCF_000375325.1_Caprub1_0,
Aspergillus clavatus NRRL 1,Eukaryota;Fungi;Ascomycetes,NRRL 1,SAMN02953636,PRJNA15664,GCA_000002715.1,Scaffold,27.8594,49.2,,AAKD03,143,9121,2005-09-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/715/GCA_000002715.1_ASM271v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/715/GCF_000002715.2_ASM271v1,24
Aspergillus fischeri NRRL 181,Eukaryota;Fungi;Ascomycetes,NRRL 181,SAMN02953637,PRJNA15672,GCA_000149645.3,Scaffold,31.6659,49.6,,AAKE03,376,10388,2005-09-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/645/GCA_000149645.3_ASM14964v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/645/GCF_000149645.2_ASM14964v3,26
Micromonas pusilla CCMP1545,Eukaryota;Plants;Green Algae,CCMP1545,SAMN02953743,PRJNA15678,GCA_000151265.1,Scaffold,21.9583,65.7,,ACCP01,21,10242,2009-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/265/GCA_000151265.1_Micromonas_pusilla_CCMP1545_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/265/GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0,
Hevea brasiliensis,Eukaryota;Plants;Land Plants,,SAMN04451765,PRJNA394253,GCA_001654055.1,Scaffold,1373.53,35.7,chloroplast Pltd:NC_015308.1/,LVXX01,7453,58062,2016-06-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/654/055/GCA_001654055.1_ASM165405v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/055/GCF_001654055.1_ASM165405v1,
Carica papaya,Eukaryota;Plants;Land Plants,,SAMN02953710,PRJNA20267,GCA_000150535.1,Scaffold,370.419,39.0069,mitochondrion MT:NC_012116.1/; chloroplast Pltd:NC_010323.1/,ABIM01,17766,26103,2008-04-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/535/GCA_000150535.1_Papaya1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/535/GCF_000150535.2_Papaya1.0,
Pediculus humanus corporis,Eukaryota;Animals;Insects,USDA,SAMN02953682,PRJNA16223,GCA_000006295.1,Scaffold,110.781,27.9,,AAZO01,1882,10775,2007-04-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/295/GCA_000006295.1_JCVI_LOUSE_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/295/GCF_000006295.1_JCVI_LOUSE_1.0,
Ixodes scapularis,Eukaryota;Animals;Other Animals,PalLabHiFi,SAMN16793453,PRJNA704952,GCA_016920785.2,Scaffold,2226.88,46.2,,JADPSH02,648,34235,2021-02-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/920/785/GCA_016920785.2_ASM1692078v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2,
Aspergillus oryzae RIB40,Eukaryota;Fungi;Ascomycetes,RIB40,SAMD00067075,PRJNA17431,GCA_000184455.3, Chromosome,37.912,48.2552,chromosome 1:NC_036435.1/BA000049.1; chromosome 2:NC_036436.1/BA000050.1; chromosome 3:NC_036437.1/BA000051.1; chromosome 4:NC_036438.1/BA000052.1; chromosome 5:NC_036439.1/BA000053.1; chromosome 6:NC_036440.1/BA000054.1; chromosome 7:NC_036441.1/BA000055.1; chromosome 8:NC_036442.1/BA000056.1; mitochondrion MT:NC_008282.1/AP007176.1,,12,12074,2011-06-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/455/GCA_000184455.3_ASM18445v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/455/GCF_000184455.2_ASM18445v3,24
Oryzias latipes,Eukaryota;Animals;Fishes,Hd-rR,SAMN06689957,PRJNA325079,GCA_002234675.1, Chromosome,734.057,40.8475,chromosome 1:NC_019859.2/CP020665.1; chromosome 2:NC_019860.2/CP020666.1; chromosome 3:NC_019861.2/CP020667.1; chromosome 4:NC_019862.2/CP020668.1; chromosome 5:NC_019863.2/CP020669.1; chromosome 6:NC_019864.2/CP020670.1; chromosome 7:NC_019865.2/CP020671.1; chromosome 8:NC_019866.2/CP020672.1; chromosome 9:NC_019867.2/CP020673.1; chromosome 10:NC_019868.2/CP020674.1; chromosome 11:NC_019869.2/CP020675.1; chromosome 12:NC_019870.2/CP020676.1; chromosome 13:NC_019871.2/CP020677.1; chromosome 14:NC_019872.2/CP020678.1; chromosome 15:NC_019873.2/CP020679.1; chromosome 16:NC_019874.2/CP020680.1; chromosome 17:NC_019875.2/CP020681.1; chromosome 18:NC_019876.2/CP020682.1; chromosome 19:NC_019877.2/CP020683.1; chromosome 20:NC_019878.2/CP020684.1; chromosome 21:NC_019879.2/CP020685.1; chromosome 22:NC_019880.2/CP020686.1; chromosome 23:NC_019881.2/CP020687.1; chromosome 24:NC_019882.2/CP020688.1; mitochondrion MT:NC_004387.1/,,25,44766,2012-12-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/675/GCA_002234675.1_ASM223467v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/675/GCF_002234675.1_ASM223467v1,
